gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 14.519938 25.085634 69.295248 -78.408558 43.007944 17.394627
1 31.909747 25.532691 69.295248 -48.863636 43.770742 17.394627
2 48.80323 19.490386 69.295248 -19.765681 33.360067 17.394627
3 53.072495 16.060804 69.295248 -12.507577 28.326671 17.394627
4 58.538247 11.134044 69.295248 -2.831467 19.854512 17.394627
5 58.568101 10.316078 69.295248 -2.84105 19.272794 17.394627
6 60.584072 9.154158 69.29826 1.034227 17.086663 17.402157
7 59.808286 12.59981 69.29826 -0.214057 22.37822 17.402157
8 62.648638 13.577517 69.29826 5.359393 23.436409 17.402157
9 66.065327 7.276113 69.29826 11.32729 12.764551 17.402157
10 65.067866 10.322729 69.29826 9.518959 17.814303 17.402157
11 64.313305 12.814891 69.30705 8.576458 21.881664 17.424131
12 65.263672 10.093986 69.338009 9.965193 17.429304 17.50153
13 65.892885 6.871155 69.338009 10.848432 12.763494 17.50153
14 65.151232 9.012202 69.45092 9.756721 15.8777 17.783807
15 61.764969 15.578491 69.45092 4.160495 26.619386 17.783807
16 65.102031 11.186257 69.45092 9.938811 19.246473 17.783807
17 65.804943 10.646186 69.45092 11.055793 18.70435 17.783807
18 66.156485 10.549136 69.45092 11.895465 18.380438 17.783807
19 67.207895 7.843133 69.45092 13.690946 13.724566 17.783807
20 64.491841 12.16661 69.45092 9.010463 20.850783 17.783807
21 65.727469 10.06248 69.45092 11.130323 17.323037 17.783807
22 67.046323 8.312013 69.45092 13.546191 14.279961 17.783807
23 63.532218 12.230146 69.45092 7.392546 21.110949 17.783807
24 61.271205 14.998561 69.45092 3.603298 25.773376 17.783807
25 63.430423 12.258991 69.45092 7.204449 21.131385 17.783807
26 64.426665 11.735352 69.45092 8.903266 20.184819 17.783807
27 64.324722 11.681763 69.456576 8.80438 20.141969 17.797947
28 64.36655 11.875038 69.456576 8.924049 20.445618 17.797947
29 64.350679 12.032013 69.456576 8.911436 20.713959 17.797947
30 63.73501 12.182618 69.456576 7.821463 21.014504 17.797947
