gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 6.601831 18.953892 68.736675 -91.666953 32.207254 15.891525
1 21.647094 22.460252 68.736675 -65.915177 37.57265 15.891525
2 32.87821 22.057571 68.736675 -47.607177 37.185395 15.891525
3 45.887274 16.792478 68.736675 -25.65081 27.737616 15.891525
4 50.225625 15.025567 68.736675 -18.555339 24.914581 15.891525
5 54.11453 11.451359 68.736675 -11.894445 18.970814 15.891525
6 56.23327 10.46919 68.736675 -8.207232 17.992168 15.891525
7 58.543439 6.394873 68.736675 -4.372536 11.358556 15.891525
8 59.862257 4.576952 68.736675 -2.013018 8.760865 15.891525
9 60.129383 4.987118 68.736675 -1.583115 9.601853 15.891525
10 59.59047 8.492922 68.736675 -2.433695 14.907867 15.891525
11 61.807278 4.026444 68.736675 1.475771 7.942629 15.891525
12 59.644612 11.781084 68.736675 -2.163751 20.22608 15.891525
13 61.3935 6.5362 68.736675 0.973442 11.685662 15.891525
14 58.78345 13.404226 68.736675 -3.412289 23.068558 15.891525
15 54.881762 19.767267 68.736675 -9.740081 33.306285 15.891525
16 57.454496 15.774881 68.736675 -5.83873 26.941925 15.891525
17 58.833386 13.086866 68.736675 -3.284653 22.725775 15.891525
18 57.993754 14.437988 68.736675 -4.663678 24.225041 15.891525
19 57.950024 15.578154 68.736675 -4.627093 26.805934 15.891525
20 60.153827 12.142111 68.736675 -0.60376 20.655301 15.891525
21 58.192498 15.612791 68.736675 -3.730366 26.366637 15.891525
22 58.423397 14.902114 68.736675 -3.512849 25.624587 15.891525
23 60.557437 10.510408 68.736675 0.147869 18.2332 15.891525
24 57.377694 16.482166 68.736675 -5.384398 28.563211 15.891525
25 59.056699 13.763445 68.736675 -2.396915 23.756205 15.891525
26 59.227638 13.414211 68.736675 -1.86832 23.194728 15.891525
27 61.286282 9.797747 68.736675 1.474401 17.86747 15.891525
28 58.857037 16.516425 68.736675 -2.326697 28.459204 15.891525
29 62.594754 13.249586 68.736675 4.478554 22.867469 15.891525
30 63.647096 9.570799 68.736675 6.225282 17.081971 15.938875
