gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 17.315264 26.61336 69.295248 -73.799929 45.442395 17.394627
1 38.213899 24.979242 69.295248 -38.083743 42.751414 17.394627
2 54.431947 11.9018 69.295248 -10.676584 20.597629 17.394627
3 54.315085 14.179299 69.295248 -10.725643 25.047368 17.394627
4 56.638785 12.659514 69.295248 -6.640149 22.716419 17.394627
5 57.298577 11.237126 69.295248 -5.417368 20.695274 17.394627
6 59.212865 10.098529 69.295248 -1.650223 18.723881 17.394627
7 55.985538 11.691606 69.295248 -7.626321 21.637613 17.394627
8 61.031581 10.445562 69.295248 1.783243 18.936421 17.394627
9 58.497532 11.52969 69.295248 -2.806719 20.93746 17.394627
10 60.247899 10.972561 69.295248 0.325951 20.163938 17.394627
11 62.117561 7.443548 69.62507 3.636374 13.884612 17.920756
12 62.46061 7.669959 69.62507 4.146177 14.517607 17.920756
13 64.485339 6.561211 69.62507 8.005068 12.133829 17.920756
14 64.186793 6.021222 69.62507 7.282011 11.487558 17.920756
15 64.197873 5.35909 69.62507 7.43229 10.204745 17.920756
16 64.905558 4.212557 69.62507 8.65079 8.426281 17.920756
17 65.830943 3.660862 69.62507 10.410927 7.236222 17.920756
18 65.633294 3.479528 69.62507 10.09645 7.017697 17.920756
19 65.405698 4.10936 69.62507 9.576977 8.206682 17.920756
20 65.504129 3.796431 69.62507 9.77022 7.562535 17.920756
21 65.034082 3.938545 69.62507 8.880314 7.747545 17.920756
22 65.714402 3.332365 69.62507 10.124394 6.736661 17.920756
23 65.174789 3.952021 69.62507 9.170105 7.841325 17.920756
24 64.354674 4.557885 69.62507 7.471397 9.090153 17.920756
25 64.896941 5.434332 69.62507 8.649209 10.390938 17.920756
26 63.983973 7.345062 69.62507 6.99732 13.820896 17.920756
27 63.96534 7.423602 69.62507 6.93702 13.789045 17.920756
28 64.044914 5.35766 69.62507 6.835119 10.416804 17.920756
29 64.285953 4.573404 69.62507 7.158121 9.265792 17.920756
30 64.136332 6.76705 69.62507 7.274267 12.742119 17.920756
