gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 7.462152 19.353688 68.736675 -90.343103 32.827196 15.891525
1 26.719596 24.289125 68.736675 -57.655242 41.017844 15.891525
2 50.165928 13.654893 68.736675 -18.193913 23.276541 15.891525
3 59.337776 5.622216 68.736675 -2.563473 9.888851 15.891525
4 60.41915 7.613661 68.736675 -0.713724 13.208447 15.891525
5 60.8412 5.973528 68.736675 0.041154 11.24218 15.891525
6 60.787976 8.066572 68.736675 -0.017405 14.102814 15.891525
7 58.937048 11.680086 68.736675 -3.204635 20.425934 15.891525
8 61.606218 4.380972 68.736675 1.409379 8.868042 15.891525
9 61.848267 4.196397 68.736675 2.000844 8.559368 15.891525
10 61.449044 4.560036 68.736675 1.296352 9.090091 15.891525
11 62.036325 4.132432 68.736675 2.189726 8.481937 15.891525
12 61.661727 4.17453 68.736675 1.439512 8.614932 15.891525
13 59.755465 8.536748 68.736675 -1.963852 15.621503 15.891525
14 60.170287 9.096157 68.736675 -1.222282 16.47321 15.891525
15 59.893783 7.207577 68.736675 -1.346775 13.154876 15.891525
16 61.128547 5.447393 68.736675 0.540637 10.662341 15.891525
17 60.610659 9.536433 68.736675 -0.206161 17.299384 15.891525
18 61.944076 5.232164 68.736675 2.265119 10.170942 15.891525
19 60.895636 8.402848 68.736675 0.390014 14.805932 15.891525
20 60.039768 7.580839 68.736675 -1.315972 14.070612 15.891525
21 60.614049 6.406913 68.736675 -0.294905 12.357983 15.891525
22 61.007359 8.840802 68.736675 0.631292 15.599637 15.891525
23 60.761046 7.934269 68.736675 0.194756 14.12703 15.891525
24 59.635285 13.410332 68.736675 -1.65113 23.082928 15.891525
25 60.438974 8.9331 68.736675 -0.350972 15.631275 15.891525
26 61.143964 10.874484 68.736675 1.120752 18.583768 15.891525
27 60.134915 8.880442 68.736675 -1.029116 15.682726 15.891525
28 58.777596 13.973087 68.736675 -3.257146 24.235266 15.891525
29 60.049583 6.589472 68.736675 -1.257324 12.356579 15.891525
30 58.504398 13.020983 68.736675 -3.813693 22.731293 15.891525
