gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 5.381855 17.305176 57.750845 -94.064874 29.056033 -4.773521
1 10.918881 19.187875 57.750845 -83.99591 31.977185 -4.773521
2 16.445429 19.790209 57.750845 -74.308387 32.494315 -4.773521
3 22.831071 19.047851 57.750845 -64.140562 31.443013 -4.773521
4 29.678784 16.265574 57.750845 -52.847589 26.894569 -4.773521
5 34.702173 16.341878 58.548217 -44.844388 27.605785 -3.864995
6 40.49328 13.525402 58.548217 -35.088504 22.929382 -3.864995
7 40.373214 16.085805 59.746222 -35.309831 27.239127 -1.776365
8 44.488199 12.646844 59.746222 -28.333324 21.304224 -1.776365
9 43.917062 12.788025 59.746222 -29.033586 21.085317 -1.776365
10 44.532135 11.479446 59.746222 -28.101017 18.707681 -1.776365
11 45.618093 9.748676 59.746222 -26.300262 16.035092 -1.776365
12 43.568849 15.231472 59.746222 -29.4808 25.252242 -1.425594
13 43.819827 15.243316 59.746222 -29.08757 25.023299 -1.425594
14 45.130609 14.518448 60.032542 -26.953654 24.298177 -0.228742
15 47.932728 12.331589 60.111756 -22.223003 20.659343 -0.08513
16 49.661195 10.990495 61.463424 -19.27736 18.261905 2.119128
17 49.094064 12.300469 61.463424 -20.103158 20.34595 2.119128
18 49.596518 12.055328 61.463424 -19.391526 20.244111 2.119128
19 50.854062 9.993778 61.463424 -17.077392 16.702918 2.119128
20 47.70003 16.477605 61.463424 -22.31258 27.283921 2.119128
