gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 5.737991 17.411488 52.522963 -92.538186 29.193411 -15.434862
1 13.622242 20.251085 52.522963 -79.124939 33.658584 -15.434862
2 23.598698 21.356153 52.522963 -62.0968 35.131756 -15.434862
3 33.502761 21.867279 54.086895 -46.501911 36.50009 -13.49105
4 33.359238 21.387304 57.327954 -46.760507 35.173777 -8.282585
5 34.719708 21.111073 57.327954 -44.398433 34.791216 -8.080544
6 34.401887 21.219636 57.327954 -45.099344 34.912677 -8.080544
7 38.319565 20.068012 60.154506 -38.487159 32.755821 -3.764963
8 33.457844 22.587613 60.154506 -46.638016 37.15287 -3.764963
9 32.864176 24.21078 60.154506 -48.031734 40.129598 -3.764963
10 39.533435 21.156672 60.154506 -36.63135 34.928774 -3.764963
11 36.209613 22.404469 60.154506 -42.141695 36.527654 -3.764963
12 41.420538 20.562876 75.586018 -33.720192 34.223189 32.061486
13 36.152725 23.43453 75.586018 -42.352605 38.908365 32.061486
14 35.638209 23.848835 75.586018 -42.997808 39.506216 32.061486
15 35.05964 24.156923 75.586018 -44.25431 40.329842 32.061486
16 34.685716 24.728183 75.586018 -44.707536 41.31791 32.061486
17 38.445732 23.135951 75.586018 -38.692929 38.456089 32.061486
18 39.557826 22.71095 75.586018 -36.656695 38.004453 32.061486
19 37.196633 24.59252 75.586018 -40.63399 41.11438 32.061486
20 39.720252 22.735965 75.586018 -36.51328 37.997467 32.061486
21 40.210817 23.473534 75.586018 -35.602987 39.412363 32.061486
22 37.937383 24.845714 75.586018 -39.310918 41.588899 32.061486
23 39.784061 23.476798 75.586018 -36.181149 39.287035 32.061486
24 37.842057 23.994495 75.586018 -39.151867 40.121771 32.061486
25 41.141156 23.148513 75.586018 -33.754251 39.165435 32.061486
26 40.407761 23.061978 75.586018 -34.592801 38.705436 32.061486
27 42.429283 21.621407 75.586018 -31.096203 36.276557 32.061486
28 40.964845 23.034377 75.586018 -33.872967 38.79182 32.061486
29 45.7472 18.852405 75.586018 -25.822234 31.631262 32.061486
30 41.010879 24.092695 75.586018 -33.795141 40.296228 32.061486
