gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 6.621968 18.245631 54.379755 -92.071337 30.890914 -11.724644
1 18.296451 19.873111 54.379755 -71.812274 33.044733 -11.724644
2 26.977501 19.958072 54.379755 -57.622497 33.118655 -11.724644
3 28.383847 21.500305 54.379755 -55.521759 35.790212 -11.724644
4 33.420317 21.25676 59.500975 -46.848367 35.340026 -1.612083
5 38.047857 18.522243 59.500975 -39.081821 30.635002 -1.612083
6 38.325852 19.32453 60.537913 -38.706628 32.020324 0.867839
7 39.439276 20.865588 60.537913 -36.365048 35.208857 0.867839
8 43.976123 16.746241 60.537913 -28.690339 28.033331 0.867839
9 40.772495 20.439873 60.537913 -33.757342 34.481998 0.867839
10 44.890985 16.279339 60.537913 -26.893308 27.608308 0.867839
11 45.058909 16.574561 60.537913 -26.69835 28.335243 0.867839
12 41.253687 22.280851 61.540566 -33.122961 38.125765 2.301318
13 42.611664 21.697708 61.570753 -30.594804 36.921999 2.566874
14 44.505583 20.940567 61.570753 -27.308967 35.72554 2.566874
15 46.606493 19.498295 61.570753 -23.812436 33.365069 2.566874
16 44.745351 21.323533 61.570753 -26.913707 36.590983 2.566874
17 46.76576 19.168178 61.570753 -22.908075 31.857323 2.566874
18 53.16239 13.279266 61.570753 -12.457666 22.488209 2.566874
19 46.692262 19.977524 61.570753 -23.424857 34.049569 2.566874
20 47.522534 20.967396 61.570753 -22.194874 35.878114 2.566874
21 47.738126 20.036337 61.570753 -21.712589 33.998891 2.566874
22 51.532367 17.444001 61.641601 -15.215648 29.887009 2.566874
23 49.90042 17.83355 61.781821 -18.131794 30.513227 2.670764
24 54.504313 11.793054 61.781821 -10.221275 20.269407 2.670764
25 55.276453 12.126026 61.781821 -8.973169 20.952868 2.670764
26 53.792934 14.115096 61.781821 -11.339723 24.023566 2.670764
27 53.563144 14.936731 62.256216 -11.749183 25.566643 3.737985
28 51.327997 18.940713 62.256216 -15.520606 32.433715 3.737985
29 55.283687 9.80966 62.256216 -9.125776 17.457362 3.737985
30 55.265835 10.993789 62.493085 -8.938098 19.180978 3.737985
