gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 8.497112 19.798698 67.429849 -88.371503 33.52021 14.340254
1 18.826401 21.226359 67.429849 -70.785133 35.310872 14.340254
2 31.912596 21.464186 67.761966 -48.65434 36.216603 14.833031
3 48.153859 18.264992 67.761966 -20.428398 31.464651 14.833031
4 63.015507 9.076195 67.761966 5.70574 15.492628 14.833031
5 65.461068 2.409163 67.761966 9.835927 4.869644 14.833031
6 65.137164 2.900179 67.762553 9.188852 5.878712 14.8345
7 64.212382 4.631721 67.762553 7.519667 9.018499 14.8345
8 65.615698 2.557648 67.762553 10.140533 5.228357 14.8345
9 65.591401 4.490209 69.295248 10.282718 8.145583 17.394627
10 64.095134 8.51786 69.295248 7.456638 15.269513 17.394627
11 64.605717 6.35635 69.295248 8.483233 11.631552 17.394627
12 64.807621 5.51382 69.295248 8.812321 10.333184 17.394627
13 64.149986 6.4029 69.295248 7.588846 11.657302 17.394627
14 64.32611 9.549197 69.295248 8.10885 16.775502 17.394627
15 64.002373 9.257398 69.295248 7.41542 16.689471 17.394627
16 63.836451 10.665589 69.295248 7.211929 18.752535 17.394627
17 63.546821 11.385084 69.295248 6.697466 19.905041 17.394627
18 64.964255 8.616764 69.295248 9.229951 15.274148 17.394627
19 64.144793 7.62675 69.295248 7.813275 13.826761 17.394627
20 60.61515 15.165228 69.295248 1.910393 26.303998 17.394627
21 61.270404 15.723031 69.295248 3.002431 27.512088 17.394627
22 59.226631 17.054205 69.295248 -0.262367 29.292148 17.394627
23 64.594629 9.047169 69.295248 8.870785 15.676728 17.394627
24 62.568856 14.51233 69.295248 5.250186 25.068887 17.394627
25 59.412212 15.999391 69.295248 0.125814 27.351807 17.394627
26 63.061068 11.966843 69.295248 6.282448 20.46575 17.394627
27 65.736205 7.662342 69.295248 11.104467 13.19909 17.394627
28 63.714189 10.847012 69.295248 7.564095 18.679522 17.394627
29 62.357151 12.470841 69.295248 5.304974 21.396753 17.394627
30 60.245277 15.561424 69.295248 1.643054 26.829672 17.394627
