mean_fit std_fit max_fit mean_gain std_gain max_gain
-1.695908 9.91541 57.16227 -95.5 10.98863 -30.0
-1.747422 9.711323 57.16227 -95.522388 10.782829 -30.0
-0.881795 10.62971 57.16227 -94.6 11.825396 -30.0
0.643076 13.622742 94.812614 -92.437811 18.966516 100
1.605602 15.129576 94.812614 -91.393035 20.297532 100
2.948071 15.938291 94.812614 -89.9 21.023558 100
4.853089 18.196645 94.812614 -87.662338 23.953207 100
7.882933 19.952153 94.812614 -83.796875 26.254571 100
7.225483 21.916178 94.852506 -83.280702 32.318728 100
7.439929 21.077842 94.852506 -84.078431 28.263358 100
5.960641 19.282683 94.852506 -86.132075 26.406501 100
6.026003 20.13118 94.852506 -85.9375 27.635203 100
5.495658 19.15327 94.852506 -86.5625 26.802834 100
5.704781 18.00994 94.852506 -86.363636 25.641449 100
3.310022 15.56057 48.142067 -89.90099 17.377295 -40.0
5.519638 18.53245 66.013548 -87.425743 20.616895 -20.0
4.118399 18.397636 66.013548 -88.989899 20.473928 -20.0
2.369135 16.784149 66.013548 -90.9 18.65985 -20.0
5.83767 20.146559 75.197882 -87.1 22.418519 -10.0
5.67959 20.848504 75.197882 -87.227723 23.213124 -10.0
