gen mean_fit std_fit max_fit
2 32.801603 40.567631 92.801837
3 45.595929 41.694392 94.132404
4 50.592009 41.325941 94.132404
5 57.068018 40.125269 94.132404
6 61.700869 38.831213 94.132404
7 69.553132 35.043377 94.132404
8 72.845881 34.970317 94.132404
9 80.252635 28.61024 94.132404
10 80.210563 30.862999 94.132404
11 87.362365 19.177381 94.456054
12 90.384503 13.196731 94.456054
13 90.075422 13.507969 94.456054
14 88.489411 18.149835 94.456054
15 88.751704 18.729618 94.462788
16 93.213866 3.754143 94.522788
17 93.880275 0.488372 94.522788
18 94.12239 0.343192 94.522788
19 94.274284 0.25146 94.522788
20 94.351834 0.148794 94.522788
