gamma alpha avg_mean_fit avg_mean_gain
0.0 0.0 -4.922132 -38.8
0.0 0.1 3.395093 83.86
0.0 0.2 0.429516 28.0
0.0 0.3 3.229516 28.0
0.0 0.4 22.502832 70.0
0.0 0.5 25.420769 53.56
0.0 0.6 32.849701 61.88
0.0 0.7 45.190514 72.0
0.0 0.8 49.15691 67.84
0.0 0.9 68.290612 82.0
0.0 1.0 22.894055 28.0
0.1 0.0 4.769349 26.82
0.1 0.1 12.125527 75.94
0.1 0.2 18.65926 68.96
0.1 0.3 29.602788 82.0
0.1 0.4 37.294668 82.0
0.1 0.5 39.98272 70.0
0.1 0.6 50.17505 76.0
0.1 0.7 56.027344 72.9
0.1 0.8 24.445516 24.52
0.1 0.9 57.715846 53.7
0.1 1.0 76.123665 70.02
0.2 0.0 14.829516 28.0
0.2 0.1 22.690612 82.0
0.2 0.2 30.74269 81.28
0.2 0.3 40.186055 83.92
0.2 0.4 47.33194 82.0
0.2 0.5 29.084971 28.4
0.2 0.6 63.64704 82.0
0.2 0.7 54.858387 55.68
0.2 0.8 73.960392 74.36
0.2 0.9 77.491423 70.0
0.2 1.0 92.423847 77.94
0.3 0.0 24.829516 27.74
0.3 0.1 26.96621 26.96
0.3 0.2 38.171932 67.44
0.3 0.3 46.773106 72.62
0.3 0.4 57.802788 82.0
0.3 0.5 38.829516 28.0
0.3 0.6 66.490612 70.0
0.3 0.7 81.002788 80.0
0.3 0.8 91.577068 83.46
0.3 0.9 87.490612 70.0
0.3 1.0 90.171946 62.04
0.4 0.0 35.072746 30.0
0.4 0.1 42.64704 82.0
0.4 0.2 49.189082 73.68
0.4 0.3 44.196133 31.64
0.4 0.4 62.494668 70.0
0.4 0.5 75.490612 82.0
0.4 0.6 86.159961 86.0
0.4 0.7 57.091732 32.0
0.4 0.8 90.671385 70.22
0.4 0.9 100.510126 70.62
0.4 1.0 114.68188 80.0
0.5 0.0 44.524749 27.1
0.5 0.1 52.33194 78.0
0.5 0.2 50.429516 28.0
0.5 0.3 67.121235 74.48
0.5 0.4 72.490612 70.0
0.5 0.5 74.790514 60.0
0.5 0.6 87.937543 71.9
0.5 0.7 99.169126 77.76
0.5 0.8 78.42385 42.0
0.5 0.9 80.652892 40.0
0.5 1.0 122.888012 78.0
0.6 0.0 55.062332 46.66
0.6 0.1 62.651398 82.0
0.6 0.2 69.028939 71.04
0.6 0.3 79.73194 84.0
0.6 0.4 88.609567 84.0
0.6 0.5 95.490612 82.0
0.6 0.6 96.490612 70.0
0.6 0.7 104.072012 70.16
0.6 0.8 86.44704 40.0
0.6 0.9 116.131096 68.0
0.6 1.0 128.447952 73.34
0.7 0.0 65.072746 30.0
0.7 0.1 68.429516 36.0
0.7 0.2 75.044151 61.4
0.7 0.3 88.44704 80.0
0.7 0.4 76.24686 28.54
0.7 0.5 105.490612 82.0
0.7 0.6 87.145735 37.32
0.7 0.7 113.490612 70.0
0.7 0.8 125.290612 76.0
0.7 0.9 132.850924 76.0
0.7 1.0 134.490612 70.0
0.8 0.0 73.527212 25.68
0.8 0.1 77.790861 51.12
0.8 0.2 86.845433 66.9
0.8 0.3 95.556469 70.24
0.8 0.4 102.490612 70.0
0.8 0.5 104.415317 63.14
0.8 0.6 119.497298 74.24
0.8 0.7 124.772379 72.0
0.8 0.8 130.490612 70.0
0.8 0.9 148.261855 82.0
0.8 1.0 150.290287 75.76
0.9 0.0 84.964829 33.04
0.9 0.1 90.401968 74.62
0.9 0.2 101.809567 84.0
0.9 0.3 89.226635 23.48
0.9 0.4 107.83792 62.54
0.9 0.5 123.44704 78.0
0.9 0.6 131.467946 77.76
0.9 0.7 135.533069 72.36
0.9 0.8 154.927729 88.0
0.9 0.9 151.666104 74.66
0.9 1.0 132.937405 48.0
1.0 0.0 94.976119 8.0
1.0 0.1 99.89927 52.46
1.0 0.2 111.607043 84.0
1.0 0.3 112.739605 65.3
1.0 0.4 127.290612 82.0
1.0 0.5 122.125619 62.88
1.0 0.6 111.629516 28.0
1.0 0.7 140.420048 66.92
1.0 0.8 150.490612 70.0
1.0 0.9 164.623113 77.88
1.0 1.0 168.490612 74.0
