gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -1.852988 7.981271 21.490612 -78.84 44.259399 70
1 2.537839 10.454679 21.490612 -53.74 61.050572 70
2 7.897673 10.89114 22.050924 -24.06 64.490281 76
3 12.842129 9.06468 22.64704 4.68 55.979439 82
4 13.535842 8.455588 23.409567 9.08 53.397693 84
5 15.107147 8.158005 23.409567 22.04 54.723289 84
6 16.91104 7.51187 22.64704 36.08 52.112125 82
7 15.899653 8.750969 22.64704 30.3 58.636081 82
8 18.405998 6.315525 22.73194 47.88 46.114484 82
9 19.462663 5.980581 22.690612 56.52 42.00059 82
10 21.744882 1.886537 22.690612 73.26 15.241142 82
11 22.168212 0.568053 22.690612 77.02 5.882142 82
12 22.228424 1.784123 22.690612 78.16 14.728693 82
13 22.435983 1.450598 22.690612 80.12 11.432655 82
14 22.3642 1.892481 22.690612 79.62 15.056414 82
15 22.413352 1.76752 22.690612 79.84 14.382434 82
16 22.567209 1.048408 22.690612 80.96 9.219458 82
17 22.687562 0.011117 22.690612 82.0 0.0 82
18 22.690612 0.0 22.690612 82.0 0.0 82
19 22.690612 0.0 22.690612 82.0 0.0 82
20 22.690612 0.0 22.690612 82.0 0.0 82
