gen mean_fit std_fit max_fit
2 39.566298 41.639729 93.284679
3 56.030714 39.776866 93.284679
4 70.226135 33.695937 93.284679
5 80.844504 27.26213 93.439465
6 83.662295 25.72387 93.439465
7 79.708532 30.246021 93.439465
8 83.23458 27.750032 93.439465
9 84.428162 24.713829 93.439465
10 85.606653 23.997635 93.439465
11 83.58595 26.781897 93.439465
12 89.088321 17.759412 93.439465
13 86.675379 22.293757 93.439465
14 90.012325 15.551635 93.439465
15 89.900417 15.547093 93.439465
16 91.987243 9.040439 93.441683
17 92.987827 0.412248 93.446695
18 93.011408 0.540269 93.446695
19 93.100113 0.521752 93.446695
20 92.556159 3.528511 93.499465
