Parameter Comb.	Enemy	Trial	Mean Fitness
(10, 2, 0.01)	5	0	87.58457705854747
(10, 2, 0.01)	5	1	90.53231700788814
(10, 2, 0.01)	5	2	86.8058046691016
(10, 2, 0.01)	7	0	65.93068526532741
(10, 2, 0.01)	7	1	68.60974873058142
(10, 2, 0.01)	7	2	69.92563904264944
(10, 2, 0.01)	8	0	79.0636732762015
(10, 2, 0.01)	8	1	67.15825592603379
(10, 2, 0.01)	8	2	59.274587563593535
(10, 2, 0.05)	5	0	85.54708417421108
(10, 2, 0.05)	5	1	88.47341826067084
(10, 2, 0.05)	5	2	84.67136161231326
(10, 2, 0.05)	7	0	67.18728726109991
(10, 2, 0.05)	7	1	71.03018078595153
(10, 2, 0.05)	7	2	71.92569499238185
(10, 2, 0.05)	8	0	81.56549306099218
(10, 2, 0.05)	8	1	83.6795424442307
(10, 2, 0.05)	8	2	82.07355823898202
(10, 2, 0.1)	5	0	85.55821256226464
(10, 2, 0.1)	5	1	89.90745416498615
(10, 2, 0.1)	5	2	86.51488008337809
(10, 2, 0.1)	7	0	67.87591585215353
(10, 2, 0.1)	7	1	71.30951350191205
(10, 2, 0.1)	7	2	67.60399292627467
(10, 2, 0.1)	8	0	76.8880091894998
(10, 2, 0.1)	8	1	66.52678996293763
(10, 2, 0.1)	8	2	62.50888597823525
(10, 4, 0.01)	5	0	90.19638198701125
(10, 4, 0.01)	5	1	90.10909220803272
(10, 4, 0.01)	5	2	91.1119956398128
(10, 4, 0.01)	7	0	73.82988314767616
(10, 4, 0.01)	7	1	70.19168103873257
(10, 4, 0.01)	7	2	76.67105710166351
(10, 4, 0.01)	8	0	83.0690642973928
(10, 4, 0.01)	8	1	77.00623802155671
(10, 4, 0.01)	8	2	81.08927854108039
(10, 4, 0.05)	5	0	91.01066071783751
(10, 4, 0.05)	5	1	87.73346549546454
(10, 4, 0.05)	5	2	89.40733477770652
(10, 4, 0.05)	7	0	84.76664919359868
(10, 4, 0.05)	7	1	83.66513484315307
(10, 4, 0.05)	7	2	71.38798240052776
(10, 4, 0.05)	8	0	83.1736138818271
(10, 4, 0.05)	8	1	79.95631607992166
(10, 4, 0.05)	8	2	84.87132211632577
(10, 4, 0.1)	5	0	90.92050604034975
(10, 4, 0.1)	5	1	91.83640596411925
(10, 4, 0.1)	5	2	91.23067535959738
(10, 4, 0.1)	7	0	72.99831129077593
(10, 4, 0.1)	7	1	67.80151185159353
(10, 4, 0.1)	7	2	77.2989600789037
(10, 4, 0.1)	8	0	88.4639276800287
(10, 4, 0.1)	8	1	84.30543362394819
(10, 4, 0.1)	8	2	83.85353825724087
(10, 8, 0.01)	5	0	89.65797073030878
(10, 8, 0.01)	5	1	92.57742094169741
(10, 8, 0.01)	5	2	89.58809276581258
(10, 8, 0.01)	7	0	88.16104060679709
(10, 8, 0.01)	7	1	89.37538439656126
(10, 8, 0.01)	7	2	87.29929111852505
(10, 8, 0.01)	8	0	87.7999771590856
(10, 8, 0.01)	8	1	81.77430051473242
(10, 8, 0.01)	8	2	87.28630094721332
(10, 8, 0.05)	5	0	92.81368093840253
(10, 8, 0.05)	5	1	90.09080983816533
(10, 8, 0.05)	5	2	91.66271946184234
(10, 8, 0.05)	7	0	88.87121092064285
(10, 8, 0.05)	7	1	88.00308703937084
(10, 8, 0.05)	7	2	89.49044907893958
(10, 8, 0.05)	8	0	85.50267481834746
(10, 8, 0.05)	8	1	84.62351994765602
(10, 8, 0.05)	8	2	88.90548872724868
(10, 8, 0.1)	5	0	93.58066222073404
(10, 8, 0.1)	5	1	93.41122153301728
(10, 8, 0.1)	5	2	92.28270258466725
(10, 8, 0.1)	7	0	88.65761875151787
(10, 8, 0.1)	7	1	88.8516703098632
(10, 8, 0.1)	7	2	88.79979639416175
(10, 8, 0.1)	8	0	86.66596400259232
(10, 8, 0.1)	8	1	88.38069855455443
(10, 8, 0.1)	8	2	83.94473522482504
(25, 2, 0.01)	5	0	87.20997632563397
(25, 2, 0.01)	5	1	83.65254258630199
(25, 2, 0.01)	5	2	83.76455373497298
(25, 2, 0.01)	7	0	72.80124014452473
(25, 2, 0.01)	7	1	82.84374717772992
(25, 2, 0.01)	7	2	72.11864197283197
(25, 2, 0.01)	8	0	84.86234780890442
(25, 2, 0.01)	8	1	83.09737866609443
(25, 2, 0.01)	8	2	84.03686620894496
(25, 2, 0.05)	5	0	80.48266173941184
(25, 2, 0.05)	5	1	87.0879990176382
(25, 2, 0.05)	5	2	83.53426815987115
(25, 2, 0.05)	7	0	72.63444772316366
(25, 2, 0.05)	7	1	75.89645431647754
(25, 2, 0.05)	7	2	79.81121268484473
