player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
13.0,0,13.0,197,0,146,187,197,197,0.51
13.0,0,13.0,197,0,292,374,394,394,0.25
13.0,0,13.0,197,0,438,561,591,591,0.17
13.0,0,13.0,197,0,584,748,788,788,0.13
13.0,0,13.0,197,0,730,935,985,985,0.1
41.8,0,41.8,197,31,197,197,197,197,0.51
41.8,0,41.8,197,62,394,394,394,394,0.25
41.8,0,41.8,197,93,591,591,591,591,0.17
41.8,0,41.8,197,124,788,788,788,788,0.13
41.8,0,41.8,197,155,985,985,985,985,0.1
55.6,0,55.6,145,0,145,22,124,145,0.69
55.6,0,55.6,145,0,290,44,248,290,0.34
55.6,0,55.6,145,0,435,66,372,435,0.23
55.6,0,55.6,145,0,580,88,496,580,0.17
55.6,0,55.6,145,0,725,110,620,725,0.14
