enemy,player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
8,37.0,0,37.0,331,14,331,0,331,331,0.3
8,37.0,0,37.0,331,28,662,0,662,662,0.15
8,37.0,0,37.0,331,42,993,0,993,993,0.1
8,37.0,0,37.0,331,56,1324,0,1324,1324,0.08
8,37.0,0,37.0,331,70,1655,0,1655,1655,0.06
8,64.0,0,64.0,307,27,260,70,261,278,0.36
8,64.0,0,64.0,307,54,520,140,522,556,0.18
8,64.0,0,64.0,307,81,780,210,783,834,0.12
8,64.0,0,64.0,307,108,1040,280,1044,1112,0.09
8,64.0,0,64.0,307,135,1300,350,1305,1390,0.07
8,65.2,0,65.2,223,10,130,139,223,213,0.47
8,65.2,0,65.2,223,20,260,278,446,426,0.23
8,65.2,0,65.2,223,30,390,417,669,639,0.16
8,65.2,0,65.2,223,40,520,556,892,852,0.12
8,65.2,0,65.2,223,50,650,695,1115,1065,0.09
7,94.0,0,94.0,119,3,66,18,84,119,0.84
7,94.0,0,94.0,119,6,132,36,168,238,0.42
7,94.0,0,94.0,119,9,198,54,252,357,0.28
7,94.0,0,94.0,119,12,264,72,336,476,0.21
7,94.0,0,94.0,119,15,330,90,420,595,0.17
7,88.0,0,88.0,137,0,28,133,130,137,0.73
7,88.0,0,88.0,137,0,56,266,260,274,0.36
7,88.0,0,88.0,137,0,84,399,390,411,0.24
7,88.0,0,88.0,137,0,112,532,520,548,0.18
7,88.0,0,88.0,137,0,140,665,650,685,0.15
7,0.0,100,-100.0,15,14,15,15,0,0,0.0
7,0.0,100,-100.0,15,28,30,30,0,0,0.0
7,0.0,100,-100.0,15,42,45,45,0,0,0.0
7,0.0,100,-100.0,15,56,60,60,0,0,0.0
7,0.0,100,-100.0,15,70,75,75,0,0,0.0
5,100,100,0,1000,527,3,900,0,0,0
5,100,100,0,1000,1054,6,1800,0,0,0
5,100,100,0,1000,1581,9,2700,0,0,0
5,100,100,0,1000,2108,12,3600,0,0,0
5,100,100,0,1000,2635,15,4500,0,0,0
5,100,100,0,1000,1000,946,1000,186,0,0
5,100,100,0,1000,2000,1892,2000,372,0,0
5,100,100,0,1000,3000,2838,3000,558,0,0
5,100,100,0,1000,4000,3784,4000,744,0,0
5,100,100,0,1000,5000,4730,5000,930,0,0
5,100,100,0,1000,1000,0,838,4,0,0
5,100,100,0,1000,2000,0,1676,8,0,0
5,100,100,0,1000,3000,0,2514,12,0,0
5,100,100,0,1000,4000,0,3352,16,0,0
5,100,100,0,1000,5000,0,4190,20,0,0
