enemy,player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
5,98.8,0.0,98.8,162,0,0,102,42,162,0.62
5,98.8,0.0,98.8,162,0,0,204,84,324,0.31
5,98.8,0.0,98.8,162,0,0,306,126,486,0.21
5,98.8,0.0,98.8,162,0,0,408,168,648,0.15
5,98.8,0.0,98.8,162,0,0,510,210,810,0.12
5,100.0,100.0,0.0,1000,0,0,1000,891,0,0.0
5,100.0,100.0,0.0,1000,0,0,2000,1782,0,0.0
5,100.0,100.0,0.0,1000,0,0,3000,2673,0,0.0
5,100.0,100.0,0.0,1000,0,0,4000,3564,0,0.0
5,100.0,100.0,0.0,1000,0,0,5000,4455,0,0.0
5,94.0,0.0,94.0,175,0,5,164,0,118,0.85
5,94.0,0.0,94.0,175,0,10,328,0,236,0.42
5,94.0,0.0,94.0,175,0,15,492,0,354,0.28
5,94.0,0.0,94.0,175,0,20,656,0,472,0.21
5,94.0,0.0,94.0,175,0,25,820,0,590,0.17
5,100.0,100.0,0.0,1000,1000,0,799,0,0,0.0
5,100.0,100.0,0.0,1000,2000,0,1598,0,0,0.0
5,100.0,100.0,0.0,1000,3000,0,2397,0,0,0.0
5,100.0,100.0,0.0,1000,4000,0,3196,0,0,0.0
5,100.0,100.0,0.0,1000,5000,0,3995,0,0,0.0
5,98.8,90.0,8.8,1000,0,1000,1000,0,305,0.03
5,98.8,90.0,8.8,1000,0,2000,2000,0,610,0.02
5,98.8,90.0,8.8,1000,0,3000,3000,0,915,0.01
5,98.8,90.0,8.8,1000,0,4000,4000,0,1220,0.01
5,98.8,90.0,8.8,1000,0,5000,5000,0,1525,0.01
5,99.4,0.0,99.4,200,0,0,193,25,186,0.54
5,99.4,0.0,99.4,200,0,0,386,50,372,0.27
5,99.4,0.0,99.4,200,0,0,579,75,558,0.18
5,99.4,0.0,99.4,200,0,0,772,100,744,0.13
5,99.4,0.0,99.4,200,0,0,965,125,930,0.11
5,100.0,100.0,0.0,1000,1000,0,1000,867,0,0.0
5,100.0,100.0,0.0,1000,2000,0,2000,1734,0,0.0
5,100.0,100.0,0.0,1000,3000,0,3000,2601,0,0.0
5,100.0,100.0,0.0,1000,4000,0,4000,3468,0,0.0
5,100.0,100.0,0.0,1000,5000,0,5000,4335,0,0.0
5,97.6,0.0,97.6,181,0,38,175,39,110,0.91
5,97.6,0.0,97.6,181,0,76,350,78,220,0.45
5,97.6,0.0,97.6,181,0,114,525,117,330,0.3
5,97.6,0.0,97.6,181,0,152,700,156,440,0.23
5,97.6,0.0,97.6,181,0,190,875,195,550,0.18
5,89.8,0.0,89.8,291,0,0,291,0,117,0.85
5,89.8,0.0,89.8,291,0,0,582,0,234,0.43
5,89.8,0.0,89.8,291,0,0,873,0,351,0.28
5,89.8,0.0,89.8,291,0,0,1164,0,468,0.21
5,89.8,0.0,89.8,291,0,0,1455,0,585,0.17
5,99.4,100.0,-0.6,1000,0,1000,917,25,0,0.0
5,99.4,100.0,-0.6,1000,0,2000,1834,50,0,0.0
5,99.4,100.0,-0.6,1000,0,3000,2751,75,0,0.0
5,99.4,100.0,-0.6,1000,0,4000,3668,100,0,0.0
5,99.4,100.0,-0.6,1000,0,5000,4585,125,0,0.0
