gen mean_fit std_fit max_fit
2 34.024867 42.224207 93.635214
3 58.037433 41.009468 93.635214
4 78.490983 27.074205 93.682788
5 79.542217 26.441874 93.682788
6 79.769321 27.861961 93.682788
7 81.266151 27.653503 93.682788
8 91.876056 10.895356 93.682788
9 93.503829 0.309871 93.682788
10 93.630339 0.188132 93.682788
11 93.637434 0.176199 93.682788
12 93.644 0.143459 93.682788
13 93.632352 0.17054 93.682788
14 93.62315 0.161182 93.682788
15 93.654982 0.103389 93.682788
16 93.622258 0.21605 93.682788
17 93.613733 0.223815 93.682788
18 93.631056 0.169905 93.682788
19 93.640426 0.145438 93.689567
20 93.632838 0.176298 93.689567
