gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -2.190571 9.94116 34.108356 -95.06 13.369981 -46
1 -0.527203 10.847814 34.179917 -92.4 15.178933 -46
2 -1.102459 9.743799 34.179917 -93.32 13.917529 -46
3 1.948789 12.203827 42.142067 -89.52 16.507259 -40.0
4 1.333752 9.118796 18.2699 -91.1 11.392541 -70.0
5 8.761499 11.778235 50.197882 -81.8 14.722771 -30.0
6 11.676203 9.547033 34.203942 -78.2 11.948222 -50.0
7 13.580964 10.048687 34.013548 -75.8 12.584117 -50.0
8 14.254521 7.213063 18.2699 -75.0 9.0 -70.0
9 16.821279 4.589217 18.2699 -71.8 5.723635 -70.0
10 17.306178 3.8093 18.2699 -71.2 4.749737 -70.0
11 17.947171 2.245535 18.2699 -70.4 2.8 -70.0
12 18.10806 1.595971 18.2699 -70.2 1.989975 -70.0
13 18.10885 1.596037 18.2699 -70.2 1.989975 -70.0
14 18.269835 0.000644 18.2699 -70.0 0.0 -70.0
15 18.2699 0.0 18.2699 -70.0 0.0 -70.0
16 18.2699 0.0 18.2699 -70.0 0.0 -70.0
17 18.2699 0.0 18.2699 -70.0 0.0 -70.0
18 18.109487 1.596093 18.2699 -70.2 1.989975 -70.0
19 18.269581 0.003179 18.2699 -70.0 0.0 -70.0
20 18.2699 0.0 18.2699 -70.0 0.0 -70.0
