enemy,player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
8,67.0,0,67.0,304,14,304,22,43,132,0.76
8,67.0,0,67.0,304,28,608,44,86,264,0.38
8,67.0,0,67.0,304,42,912,66,129,396,0.25
8,67.0,0,67.0,304,56,1216,88,172,528,0.19
8,67.0,0,67.0,304,70,1520,110,215,660,0.15
8,71.2,0,71.2,224,13,224,224,224,182,0.55
8,71.2,0,71.2,224,26,448,448,448,364,0.27
8,71.2,0,71.2,224,39,672,672,672,546,0.18
8,71.2,0,71.2,224,52,896,896,896,728,0.14
8,71.2,0,71.2,224,65,1120,1120,1120,910,0.11
8,78.4,0,78.4,293,109,248,293,0,293,0.34
8,78.4,0,78.4,293,218,496,586,0,586,0.17
8,78.4,0,78.4,293,327,744,879,0,879,0.11
8,78.4,0,78.4,293,436,992,1172,0,1172,0.09
8,78.4,0,78.4,293,545,1240,1465,0,1465,0.07
8,58.0,0,58.0,357,14,236,320,357,357,0.28
8,58.0,0,58.0,357,28,472,640,714,714,0.14
8,58.0,0,58.0,357,42,708,960,1071,1071,0.09
8,58.0,0,58.0,357,56,944,1280,1428,1428,0.07
8,58.0,0,58.0,357,70,1180,1600,1785,1785,0.06
8,73.6,0,73.6,369,0,24,369,0,369,0.27
8,73.6,0,73.6,369,0,48,738,0,738,0.14
8,73.6,0,73.6,369,0,72,1107,0,1107,0.09
8,73.6,0,73.6,369,0,96,1476,0,1476,0.07
8,73.6,0,73.6,369,0,120,1845,0,1845,0.05
8,65.2,0,65.2,522,0,30,479,0,522,0.19
8,65.2,0,65.2,522,0,60,958,0,1044,0.1
8,65.2,0,65.2,522,0,90,1437,0,1566,0.06
8,65.2,0,65.2,522,0,120,1916,0,2088,0.05
8,65.2,0,65.2,522,0,150,2395,0,2610,0.04
8,82.0,0,82.0,223,119,201,223,0,223,0.45
8,82.0,0,82.0,223,238,402,446,0,446,0.22
8,82.0,0,82.0,223,357,603,669,0,669,0.15
8,82.0,0,82.0,223,476,804,892,0,892,0.11
8,82.0,0,82.0,223,595,1005,1115,0,1115,0.09
8,66.4,0,66.4,296,1,273,296,293,250,0.4
8,66.4,0,66.4,296,2,546,592,586,500,0.2
8,66.4,0,66.4,296,3,819,888,879,750,0.13
8,66.4,0,66.4,296,4,1092,1184,1172,1000,0.1
8,66.4,0,66.4,296,5,1365,1480,1465,1250,0.08
8,82.0,0,82.0,196,55,196,196,196,183,0.55
8,82.0,0,82.0,196,110,392,392,392,366,0.27
8,82.0,0,82.0,196,165,588,588,588,549,0.18
8,82.0,0,82.0,196,220,784,784,784,732,0.14
8,82.0,0,82.0,196,275,980,980,980,915,0.11
8,79.0,0,79.0,191,0,2,63,17,191,0.52
8,79.0,0,79.0,191,0,4,126,34,382,0.26
8,79.0,0,79.0,191,0,6,189,51,573,0.17
8,79.0,0,79.0,191,0,8,252,68,764,0.13
8,79.0,0,79.0,191,0,10,315,85,955,0.1
