gen mean_fit std_fit max_fit
2 48.157188 42.461244 93.691026
3 65.354689 37.006196 93.691026
4 76.281255 32.797478 93.706268
5 81.553698 27.231876 93.761885
6 82.406757 27.454497 93.761885
7 84.591004 25.479362 93.761885
8 83.467491 27.357936 93.931733
9 87.643691 21.584242 93.931733
10 90.787421 14.736114 93.931733
11 89.697928 17.950334 93.931733
12 92.762938 7.724308 93.931733
13 93.577733 0.40686 93.931733
14 93.676762 0.397567 93.931733
15 93.706042 0.452455 93.931733
16 93.713054 0.465502 93.931733
17 93.691137 0.507113 93.931733
18 93.779522 0.420606 93.931733
19 93.760861 0.420205 93.931733
20 93.6772 0.514637 93.931733
