gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -1.972218 10.872425 66.361645 -96.2 12.147428 -20.0
1 0.419319 13.436464 66.502832 -93.8 15.085092 -20.0
2 2.299382 15.7914 57.511062 -91.8 17.685022 -30.0
3 3.044269 12.650178 57.511062 -90.9 14.148852 -30.0
4 3.114397 10.468278 48.548962 -90.9 11.755424 -40.0
5 0.679674 7.725174 48.548962 -93.5 8.645808 -40.0
6 3.884718 8.724828 39.742505 -89.9 9.84835 -50.0
7 4.704316 10.197735 39.610928 -89.0 11.445523 -50.0
8 6.457135 8.432438 57.53194 -87.2 9.495262 -30.0
9 11.007045 16.708565 57.53194 -82.1 18.724049 -30.0
10 10.282939 15.201887 66.458736 -82.9 17.046701 -20.0
11 13.743771 18.191809 57.53194 -79.0 20.371549 -30.0
12 23.690905 20.03372 66.443172 -67.8 22.431228 -20.0
13 29.421001 19.963851 75.383229 -61.4 22.31681 -10.0
14 46.930074 17.411109 84.410607 -41.784 19.496742 1.6
15 53.387173 12.834231 85.979599 -34.408 14.856 16.0
16 53.281961 14.999735 84.410607 -34.636 16.895263 1.6
17 54.726367 13.026457 84.410607 -33.084 14.576507 1.6
18 58.133594 3.8119 66.5839 -29.3 4.302325 -20.0
19 58.575916 3.586689 66.276415 -28.8 4.069398 -20.0
20 59.268673 5.459089 66.276415 -28.0 6.164414 -20.0
