mean_fit std_fit max_fit mean_gain std_gain max_gain
-0.793513 10.515867 48.127882 -93.92 12.793498 -40.0
-1.859707 9.58913 48.127882 -95.36 11.304442 -40.0
-0.043443 12.287697 75.2699 -93.36 14.150279 -10.0
0.438112 12.774596 75.2699 -92.86 14.674481 -10.0
2.314905 14.558487 75.2699 -90.92 16.390046 -10.0
3.38461 15.263651 75.2699 -89.72 17.12897 -10.0
5.357595 16.681783 75.2699 -87.493671 18.708878 -10.0
6.522055 17.915447 75.2699 -86.166667 20.086241 -10.0
6.79899 17.595564 66.16227 -85.831776 19.750067 -20.0
8.933931 19.30711 75.260207 -83.20354 21.977526 -10.0
5.763984 18.381619 75.260207 -87.2 20.4 -10.0
5.012862 18.430516 75.260207 -88.041237 20.490842 -10.0
2.967771 16.450109 75.260207 -90.3 18.245821 -10.0
3.321854 16.49145 75.260207 -89.90099 18.32031 -10.0
3.901988 18.084028 75.260207 -89.292929 20.113442 -10.0
3.396444 15.342909 66.013548 -89.8 17.086837 -20.0
5.420019 17.915131 75.013548 -87.524752 19.92093 -10.0
5.943539 20.443779 75.013548 -86.960784 22.785841 -10.0
7.458691 21.906694 75.013548 -85.247525 24.397454 -10.0
8.34262 24.195416 94.818216 -83.4 31.18397 100
