gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -3.208141 9.005332 39.031292 -97.1 10.029457 -50.0
1 -0.918156 12.508744 39.031292 -94.6 13.95851 -50.0
2 -0.308193 12.406162 39.031292 -93.9 13.848827 -50.0
3 3.200628 15.668888 66.013548 -90.0 17.435596 -20.0
4 6.453932 14.592004 39.250607 -86.4 16.218508 -50.0
5 10.488828 17.225409 66.013548 -81.9 19.219521 -20.0
6 17.444072 16.626096 48.028738 -74.1 18.606182 -40.0
7 20.993054 19.364392 48.041575 -70.2 21.678561 -40.0
8 24.233299 23.177159 48.041575 -66.6 26.00846 -40.0
9 30.88412 22.694128 48.028738 -59.1 25.380898 -40.0
10 38.689438 19.52152 56.945561 -50.4 21.859552 -30.0
11 42.986521 12.848627 48.023649 -45.5 14.309088 -40.0
12 47.625408 1.867536 48.081106 -40.4 1.959592 -40.0
13 47.922829 0.949435 48.028738 -40.1 0.994987 -40.0
14 47.645163 1.846117 48.028738 -40.4 1.959592 -40.0
15 47.929443 0.949839 48.081106 -40.1 0.994987 -40.0
16 47.843337 1.306429 48.081106 -40.2 1.4 -40.0
17 47.845265 1.308467 48.081106 -40.2 1.4 -40.0
18 47.584052 3.693836 48.081106 -40.5 4.092676 -40.0
19 47.213717 4.328767 48.081106 -40.9 4.710626 -40.0
20 47.58765 2.046507 48.081106 -40.5 2.179449 -40.0
