

gen best mean std
0 89.398742 4.712722 23.790118
1 89.398742 5.545095 23.677406
2 89.398742 6.761178 24.913733
3 89.398742 10.598252 28.08489
4 89.398742 11.693816 27.878666
5 89.398742 13.813855 28.600999
6 89.398742 17.97091 31.084942
7 89.398742 21.471143 31.74903
8 89.874995 23.463616 32.944688
9 89.874995 26.321547 34.341203
10 89.874995 30.924519 36.338364
11 89.874995 33.395116 36.432756
12 89.874995 40.760994 37.117577
13 89.874995 47.430987 36.914869
14 89.906611 53.110231 35.948822
15 89.906611 61.04227 33.804979
16 89.906611 65.166909 31.914156
17 89.906611 66.979305 32.052792
18 89.906611 75.93541 23.670504
19 89.906611 73.203867 27.975033
20 89.906611 74.407321 27.674899
21 89.906611 75.870149 26.376341
22 89.906611 74.943738 27.080009
23 89.906611 74.021569 28.061981
24 89.906611 74.742114 28.031557
25 89.906611 77.697529 23.994601
26 89.906611 77.065054 25.900268
27 89.906611 73.711753 28.262392
28 89.906611 74.725785 27.501232
29 90.617367 73.271184 29.803788
